size		Naive		BBST		Trie		HashTable
248	1582891800		655800		200000		2861600
249	1591175700		658200		200800		2866100
250	1592322700		660400		201600		2867500
251	1601599400		662100		202500		2885200
252	1604408400		663700		203200		2886600
253	1613523300		666400		203400		2902300
254	1618340600		668500		204200		2906800
255	1623449800		670400		204900		2907800
256	1631240700		672200		205600		2912300
257	1634346600		674300		206500		2915900
258	1643747400		676200		207300		2922800
259	1651174700		679000		208000		2931800
260	1651816000		680900		209100		2933000
261	1660940200		683000		209300		2948600
262	1669010400		685100		210100		2982000
263	1676416400		687600		211200		3042400
264	1676634000		689300		211800		3043200
265	1683542400		691700		213000		3052600
266	1683721100		693100		213300		3053700
267	1690981200		694900		214200		3059000
268	1695113600		697000		214900		3064600
269	1703092100		698700		215700		3074000
270	1712011100		700500		215800		3089100
271	1721045000		702500		216600		3103300
272	1721045300		704500		216700		3103700
273	1721506000		705700		217300		3104400
274	1726458800		707200		217800		3105400
275	1729098500		708900		218600		3107600
276	1734033400		710900		219000		3110400
277	1740205400		712600		219500		3117500
278	1744339300		713700		219900		3118300
279	1751486300		715700		220600		3122400
280	1754221300		717500		221600		3131500
281	1758150300		719500		222300		3138000
282	1763811900		721600		222800		3141500
283	1767854600		723000		223300		3144100
284	1771836300		724400		223700		3156400
285	1778583700		726400		224300		3160600
286	1783361700		728400		225000		3168200
287	1790545100		729800		225800		3172000
288	1796086500		731800		226500		3181000
289	1796260400		733400		227700		3182000
290	1803275000		734700		228300		3185600
291	1809311500		736900		229100		3206200
292	1817587300		738600		229300		3224500
293	1824834300		740400		230200		3231800
294	1830317400		741800		231200		3257300
295	1831165200		743000		232000		3259900
296	1835504900		744300		232400		3261100
297	1841502300		746300		233100		3272100
298	1850410700		749300		233300		3288500
299	1858797500		751900		234100		3293800
300	1867420900		754400		235700		3331800
301	1869202100		756600		236900		3336900
302	1878241600		759100		237700		3342300
303	1879685700		761300		238600		3344100
304	1884372100		763400		239800		3355800
305	1884600200		765100		240300		3356900
306	1893066000		767700		241500		3370700
307	1901595200		770600		242900		3385700
308	1909836400		773300		244100		3391000
309	1915187700		776200		245500		3399900
310	1924516800		780100		245900		3417500
311	1934056100		783300		246300		3424800
312	1944185200		786400		246600		3432200
313	1953656600		789400		247000		3448300
314	1962934100		792200		247300		3470200
315	1970056300		794800		247900		3475400
316	1976018300		797600		249100		3481500
317	1981489800		800400		250100		3492700
318	1990323000		805300		251700		3522700
319	1999184200		808400		252600		3527900
320	2009598900		812000		256500		3537900
321	2019227400		815600		256800		3554100
322	2027859400		818500		257800		3562600
323	2038144300		822200		260100		3580500
324	2044434800		825400		261100		3591600
325	2045463700		827900		261700		3593000
326	2049717300		830400		262500		3599800
327	2050214100		833100		263000		3600600
328	2061928600		837300		263900		3608700
329	2066327500		841300		266700		3619600
330	2080384800		845500		267100		3644500
331	2092304200		848900		267500		3650400
332	2098778200		852400		268800		3657700
333	2103873900		855700		270200		3711200
